"","year","admin","region","status","ptcp_rate","cspt_ntd","ctgp_per1wp","training_hr","pct_budget","pctc_per1wp"
"66",2015,"連江縣","offshore","county",0.0059,5.13,NA,0,2.82,NA
"67",2014,"新北市","northern","municipality",0.00828,31.09,0.1427,NA,1.48,2.223
"68",2014,"台北市","northern","municipality",0.02068,NA,0.1343,929,2.26,5.247
"69",2014,"桃園市","northern","municipality",0.00809,21.16,0.2152,329,1.24,1.496
"70",2014,"台中市","central","municipality",0.00997,15.14,0.1419,42,1.13,1.721
"71",2014,"台南市","southern","municipality",0.0109,13.23,0.2595,1167,2.28,1.788
"72",2014,"高雄市","southern","municipality",0.01343,15.12,0.1486,2649,2.05,2.177
"73",2014,"宜蘭縣","northern","county",0.0156,8.38,0.3945,1297,NA,3.488
"74",2014,"新竹縣","northern","county",0.01063,26.19,0.0911,210,1.24,1.693
"75",2014,"苗栗縣","central","county",0.00766,6.74,0.0741,178,2.85,1.481
"76",2014,"彰化縣","central","county",0.00885,6.43,0.1231,1361,1.02,1.944
"77",2014,"南投縣","central","county",0.02414,7.94,0.3072,1112,0.85,2.761
"78",2014,"雲林縣","central","county",0.00213,6.03,0.2368,220,1.29,3.445
"79",2014,"嘉義縣","southern","county",0.00684,4.64,0.2001,NA,1.56,2.306
"80",2014,"屏東縣","southern","county",0.00208,5.58,0.158,28,0.19,2.17
"81",2014,"台東縣","eastern","county",NA,NA,0.441,5,1.31,NA
"82",2014,"花蓮縣","eastern","county",0.01269,26.79,0.4649,86,0.87,2.939
"83",2014,"澎湖縣","offshore","county",0.00335,5.07,NA,1212,2.59,2.359
"84",2014,"基隆市","northern","city",0.01249,7.28,0.3726,276,0.8,2.52
"85",2014,"新竹市","northern","city",0.01535,28.2,0.382,2715,1.5,3.727
"86",2014,"嘉義市","southern","city",0.00827,11.65,0.2104,1030,1.94,3.802
"87",2014,"金門縣","offshore","county",0.00267,3.91,0.2114,424,1.68,1.801
"88",2014,"連江縣","offshore","county",0.0052,6.06,NA,126,3.22,NA
"89",2013,"新北市","northern","municipality",0.00773,31.23,0.1446,NA,1.21,2.073
"90",2013,"台北市","northern","municipality",0.02169,NA,0.1359,647,1.78,4.917
"91",2013,"桃園市","northern","municipality",0.00635,16.04,0.1621,2117,0.84,0.896
"92",2013,"台中市","central","municipality",0.01319,21.41,0.206,38,1.03,2.156
"93",2013,"台南市","southern","municipality",0.00682,9.14,0.1752,863,1.35,1.094
"94",2013,"高雄市","southern","municipality",NA,NA,NA,1280,1.58,NA
"95",2013,"宜蘭縣","northern","county",0.00302,1.83,0.0876,239,2.13,0.651
"96",2013,"新竹縣","northern","county",NA,25.08,0.0905,2453,1.06,1.697
"97",2013,"苗栗縣","central","county",0.0058,6.78,0.0743,301,3.06,1.432
"98",2013,"彰化縣","central","county",0.00934,6.03,0.1227,NA,1.65,1.852
"99",2013,"南投縣","central","county",0.0122,7.52,0.3093,1099,0.77,2.629
"100",2013,"雲林縣","central","county",0.00189,5.41,0.2345,241,1.26,1.427
"101",2013,"嘉義縣","southern","county",0.00488,4.17,0.1984,284,1.45,2.249
"102",2013,"屏東縣","southern","county",0.00255,5.56,0.1561,22,1.65,2.124
"103",2013,"台東縣","eastern","county",0.00968,31.27,0.4092,133,1.14,5.916
"104",2013,"花蓮縣","eastern","county",0.00403,20.39,0.4343,1108,0.69,2.785
"105",2013,"澎湖縣","offshore","county",0.00366,5.29,NA,1256,2.11,2.59
"106",2013,"基隆市","northern","city",0.00996,8.03,0.3708,72,0.85,2.881
"107",2013,"新竹市","northern","city",0.0142,28.4,0.3757,375,1.07,5.951
"108",2013,"嘉義市","southern","city",0.00615,11.24,0.2104,730,1.67,4.504
"109",2013,"金門縣","offshore","county",0.00228,3.42,0.232,16,3.15,1.823
"110",2013,"連江縣","offshore","county",0.00164,4.88,NA,83,2.88,NA
"111",2012,"新北市","northern","municipality",0.00734,30.96,0.1518,NA,1.23,2.011
"112",2012,"台北市","northern","municipality",0.01994,NA,0.1395,205,1.82,4.609
"113",2012,"桃園市","northern","municipality",0.00484,15.29,0.1669,317,0.56,0.842
"114",2012,"台中市","central","municipality",0.01459,20.57,0.2046,196,1.03,1.887
"115",2012,"台南市","southern","municipality",0.00617,9.05,0.1753,NA,1.19,1.018
"116",2012,"高雄市","southern","municipality",NA,NA,NA,NA,1.7,NA
